idx,date,commit,Basic,OT/Coupling,OT/CharacteristicFlow,OT/WeakToLagrangian,total
0,2026-05-23,fdddc46b,4,0,0,0,4
1,2026-05-24,384e59cf,7,0,0,0,7
2,2026-05-24,ef12dd6e,7,0,0,0,7
3,2026-05-24,f43923f8,7,0,0,0,7
4,2026-05-25,1a873103,7,0,0,0,7
5,2026-05-25,c7c323d2,5,0,0,0,5
6,2026-05-25,f130c509,5,0,0,0,5
7,2026-05-25,5ff616ff,4,0,0,0,4
8,2026-05-25,7f57c955,3,0,0,0,3
9,2026-05-25,4f75a3bf,2,0,0,0,2
10,2026-05-25,e55b1c23,2,0,0,0,2
11,2026-05-25,0cccce50,2,0,0,0,2
12,2026-05-25,23374562,7,0,0,0,7
13,2026-05-25,c5cd353e,12,0,0,0,12
14,2026-05-25,cd9aaab6,11,0,0,0,11
15,2026-05-26,29c7bedd,14,0,0,0,14
16,2026-05-26,005f91c4,18,0,0,0,18
17,2026-05-26,41a907ee,9,0,0,0,9
18,2026-05-26,6d4296eb,8,0,0,0,8
19,2026-05-26,7c90a9c1,5,0,0,0,5
20,2026-05-26,678ab2df,4,0,0,0,4
21,2026-05-26,189c062c,4,0,0,0,4
22,2026-05-26,00e4cef0,4,0,0,0,4
23,2026-05-26,db6ad3fb,4,0,0,0,4
24,2026-05-26,2702af0e,4,0,0,0,4
25,2026-05-26,8f95b818,3,0,0,0,3
26,2026-05-26,21013673,8,0,0,0,8
27,2026-05-26,2273c184,7,0,0,0,7
28,2026-05-26,c9acb534,6,0,0,0,6
29,2026-05-26,4e167627,6,0,0,0,6
30,2026-05-26,b572fda2,5,0,0,0,5
31,2026-05-26,94521bf7,4,0,0,0,4
32,2026-05-26,eea642bf,4,1,0,0,5
33,2026-05-26,7da0d87a,4,1,0,0,5
34,2026-05-26,2ff905bc,4,1,0,0,5
35,2026-05-26,45c7c190,4,3,0,0,7
36,2026-05-26,fb3d243a,4,1,0,0,5
37,2026-05-26,ae925a80,4,0,0,0,4
38,2026-05-26,c3dc18f7,4,0,2,0,6
39,2026-05-26,2266047a,4,0,2,0,6
40,2026-05-27,63d75496,4,0,3,0,7
41,2026-05-27,6d49708d,4,0,3,0,7
42,2026-05-27,25ba805c,4,0,2,0,6
43,2026-05-27,16bc33c9,4,0,2,0,6
44,2026-05-27,1ea607c1,4,0,2,0,6
45,2026-05-27,c34b6c8c,4,0,2,0,6
46,2026-05-27,f1c9caad,4,0,2,0,6
47,2026-05-27,8c4752ec,4,0,1,0,5
48,2026-05-27,a5fac0ad,4,0,3,0,7
49,2026-05-27,b9c67a39,4,0,2,0,6
50,2026-05-27,a195e774,4,0,1,0,5
51,2026-05-27,aa68b1b7,4,0,1,0,5
52,2026-05-28,5372fac5,4,0,1,0,5
53,2026-05-28,a684b486,4,0,1,0,5
54,2026-05-28,7afe65a5,4,0,1,0,5
55,2026-05-28,7f5b01fc,4,1,1,0,6
56,2026-05-28,7b622618,4,0,1,0,5
57,2026-05-28,35b323b9,4,0,1,0,5
58,2026-05-28,f3080f13,4,0,4,0,8
59,2026-05-28,da4e3c2a,4,0,3,0,7
60,2026-05-28,015173e9,4,0,2,0,6
61,2026-05-28,336e7c4d,4,0,1,0,5
62,2026-05-28,69e9ad0e,4,0,1,0,5
63,2026-05-28,f7fc5517,7,0,1,0,8
64,2026-05-28,3a63be5b,6,0,1,0,7
65,2026-05-28,f47762ca,5,0,1,0,6
66,2026-05-28,9423a757,4,0,1,0,5
67,2026-05-28,fa83a241,4,0,1,0,5
68,2026-05-28,c397051e,4,0,1,0,5
69,2026-05-28,9f3a0846,4,0,1,0,5
70,2026-05-28,57ae9831,5,0,1,0,6
71,2026-05-28,b9c226a7,5,0,1,0,6
72,2026-05-28,34f0130e,4,0,1,0,5
73,2026-05-28,1e59e8ed,4,0,1,0,5
74,2026-05-28,c64028ec,3,0,2,0,5
75,2026-05-28,3d34de3e,3,0,2,0,5
76,2026-05-28,992c896e,3,0,2,0,5
77,2026-05-28,c00ba3b5,3,0,2,0,5
78,2026-05-29,9e604a26,3,0,3,0,6
79,2026-05-29,7746699e,3,0,3,0,6
80,2026-05-29,f3cb1e46,3,0,3,0,6
81,2026-05-29,f3f11dd2,3,0,3,0,6
82,2026-05-29,99a07560,3,0,3,0,6
83,2026-05-29,9144680c,3,0,3,0,6
84,2026-05-29,e0985d15,3,0,2,0,5
85,2026-05-29,b3135817,3,0,2,0,5
86,2026-05-29,524d82e4,3,0,2,0,5
87,2026-05-29,11eadfaa,3,0,2,0,5
88,2026-05-29,a0bb42fe,4,0,2,0,6
89,2026-05-29,2d0fa51f,4,0,2,0,6
90,2026-05-29,59715602,4,0,2,0,6
91,2026-05-29,7b2b8c70,4,0,2,0,6
92,2026-05-29,fc9d45a9,4,0,2,0,6
93,2026-05-29,974bbf22,4,0,2,0,6
94,2026-05-29,966a9e64,4,0,2,0,6
95,2026-05-29,de1eb0fc,4,0,3,0,7
96,2026-05-29,fffde959,4,0,4,0,8
97,2026-05-29,9d541265,4,0,4,0,8
98,2026-05-29,0e6d40fc,4,0,5,0,9
